Module Name,Sub Module Name,Task,Task Type,Priority,Owner,Status,Start date,End date,Hours Spent,Task Description,Outcome,Notes
Teacher Portal,Assignments & Exams,Separate Assignments and Exams Filter,Bug Fix,High,Full Stack Team,Completed,2026-09-09 10:50,2026-09-09 11:00,0.5,"Separated assignment records from exam records in TeacherAssignments and TeacherExams components so each tab only displays relevant evaluation records.","Exams and assignments render in their dedicated views without data bleeding.","Resolved empty state on exam page and fixed fee-plans 401 unauthorized header."
Staff Management,Staff Directory,Staff Table Layout & Action Buttons Refactor,Feature / UI,Medium,Full Stack Team,Completed,2026-09-09 11:05,2026-09-09 11:45,1.0,"Eliminated horizontal scroll and column overlap in the Staff table. Refactored action buttons into View (read-only modal), Edit (update form), and Delete.","Clean, responsive staff table with distinct view and edit workflows.","Improved table layout consistency across viewport sizes."
Institute Admin,Global Operations,Delete Confirmation Modal Implementation,Feature,High,Full Stack Team,Completed,2026-09-09 11:47,2026-09-09 12:00,0.5,"Integrated safety confirmation dialogs for all destructive delete actions across Institute Admin modules to prevent accidental removals.","All delete triggers now require explicit user confirmation before executing.","Applied consistently across staff, batches, and academic records."
Curriculum Setup,Subjects Master,Standardize Subject Setup UI,UI / Refactor,Low,Frontend Team,Completed,2026-09-09 12:07,2026-09-09 12:20,0.5,"Aligned Subject Setup UI to match Course Setup styling, including uniform typography, card containers, title hierarchy, and removal of excess inner padding.","Visual parity achieved between Subject and Course setup pages.","Preserved existing subject configuration logic while enhancing presentation."
Attendance,Lecture Attendance,Submit & Lock Attendance Flow,Feature / Logic,High,Full Stack Team,Completed,2026-09-09 12:25,2026-09-09 13:15,1.0,"Refactored lecture attendance recording so attendance rows and lecture status are only written to the database upon explicit Submit & Lock.","Attendance records and lecture completion status persist atomically on lock.","Added bulk import button placeholder on the student attendance register."
Attendance,Teacher Attendance,3-Tab Attendance Register & Lecture Level Tracking,Feature,High,Full Stack Team,Completed,2026-09-09 14:25,2026-09-09 15:42,2.0,"Built a 3-tab layout (Student Attendance, Staff Attendance, Teacher Attendance Register) with inline lecture dropdown, status toggles, pagination, and conflict warnings when marking absent teachers.","Comprehensive daily attendance dashboard supporting multi-lecture status tracking.","Fixed state staging so changes persist only on 'Save Daily Sheet' button click."
Branch Management,Branch Setup,Branch Admin Email Update & Key Fix,Bug Fix,High,Backend Team,Completed,2026-09-09 15:45,2026-09-09 16:00,0.5,"Fixed branch admin email update issue in branchModel and resolved duplicate React key warnings in BranchDetail.tsx list items.","Branch Admin email updates save correctly to DB and React render errors eliminated.","Verified branch admin panel login flow and role routing."
Academic Structure,Course & Program Allocation,Branch-to-Course/Program Assignment Drawer,Feature,High,Full Stack Team,Completed,2026-09-09 16:02,2026-09-09 17:10,1.5,"Implemented slide-over catalog drawer (AssignCoursesDrawer) allowing Branch Admins to allocate Courses and Programs to their specific branch with view-only permissions on master subjects.","Branch Admins can customize branch offerings without modifying core syllabus.","Enforced backend branch-scoping on catalog endpoints."
Batch Operations,Batch Master,Batch Table Optimization & Soft-Delete Migration,Database / Feature,High,Full Stack Team,Completed,2026-09-09 17:15,2026-09-09 18:00,1.0,"Optimized Batches table columns (separated Students and Capacity, removed horizontal scroll) and migrated status column to integer soft-delete (0=Inactive, 1=Active, 2=Deleted) with confirmation modal.","Batches table displays cleanly without scroll and soft-deletes operate safely via status=2.","Resolved 500 error on /api/admin/batches/academic-years."
Classroom Management,Classroom Master,Branch-Owned Classroom Permission Enforcement,Architecture / Security,Medium,Backend Team,Completed,2026-09-09 18:01,2026-09-09 18:08,0.3,"Verified branch-owned classrooms architecture (tenant_id, branch_id) and enforced branch isolation for room creation and listing without extra mapping tables.","Classroom allocation strictly isolated per branch with verified ownership rules.","Direct database schema utilization without redundant lookup tables."
Support Desk,Ticketing Subsystem,Multi-Channel Support Architecture & UI Refactor,Feature / Architecture,High,Full Stack Team,Completed,2026-09-09 18:10,2026-09-09 18:32,1.0,"Extended support_tickets schema with branch_id, channel (SAAS_SUPPORT, INSTITUTE_SUPPORT), and sender_type. Implemented /api/branch/support, removed edit/delete options, and made branch/queue dynamic.","Dual-channel support desk allowing Branch-to-Institute and Institute-to-SaaS communication.","Zero hardcoding; all branch names, tenant names, and target queues resolve dynamically."
